,keyword,id,rank,Filtered
831,ACROMEGALY,AI-edvZx2GU,15,True
833,ACROMEGALY,SgFsfEds7DY,17,True
835,ACROMEGALY,5V0oRu0wvmw,19,True
838,ACROMEGALY,6zcivNWkUeA,22,True
839,ACROMEGALY,KLoaYPXlWHM,23,True
840,ACROMEGALY,fHui_Q6ld10,24,True
841,ACROMEGALY,cnPVlqPl51I,25,True
842,Elevated blood pressure,JtBtk00EiVM,1,True
843,Elevated blood pressure,DT2DmGVa2SY,2,True
844,Elevated blood pressure,D1bg5NSpRoI,3,True
846,Elevated blood pressure,zo_0Bzsh4WA,5,True
847,Elevated blood pressure,mjTMZ_sm0LQ,6,True
850,Elevated blood pressure,kdu5QaRINIY,9,True
851,Elevated blood pressure,XbLmIoyDJuE,10,True
852,Elevated blood pressure,IzvHTXbhKLw,11,True
855,Elevated blood pressure,Pr37kQIbqs4,14,True
860,Elevated blood pressure,tGdV-CinmaE,19,True
861,Elevated blood pressure,MnVgGTv6EW0,20,True
864,Elevated blood pressure,jRQNAa-tqr8,23,True
865,Elevated blood pressure,pPxnIh_WTb8,24,True
867,hypersomnia,Vd-RUCKskH4,2,True
868,hypersomnia,OJAGGxWW1VE,3,True
870,hypersomnia,gXpUMiJ2GJQ,5,True
871,hypersomnia,FY_0R51YBFQ,6,True
872,hypersomnia,V9gnvWtta4M,7,True
873,hypersomnia,yUb9jTGdOv4,8,True
874,hypersomnia,Ic52bwQEpmo,9,True
875,hypersomnia,Al4ung6wJKE,10,True
876,hypersomnia,Mfc5NZubqE0,11,True
878,hypersomnia,BDJzjEAU_yA,13,True
880,hypersomnia,IbJATT3qNOk,15,True
882,hypersomnia,L6T32MjowXY,17,True
885,hypersomnia,PT7ddHwR5hw,20,True
887,hypersomnia,QuOH7WfaGQk,22,True
893,restlessness,531sEQYD4CE,3,True
894,restlessness,VrfvJhnUxR8,4,True
895,restlessness,2MY4bierI3A,5,True
898,restlessness,dSUkdBIKVSk,8,True
900,restlessness,D6WmNTQTAfc,10,True
902,restlessness,2hbDTYRYcIo,12,True
903,restlessness,xLlnFRu21-w,13,True
904,restlessness,1WPOSDVOfS0,14,True
905,restlessness,-bR_eRPlR-A,15,True
906,restlessness,3OuwG8Sac6Q,16,True
908,restlessness,i1vXylZ2sGo,18,True
912,restlessness,AWkPVd4sSlQ,22,True
916,Obstructive Sleep,LWbTh0B414Q,23,True
918,Obstructive Apnea,qejRaGXVCYE,24,True
919,Obstructive Apnea,iqvGhNI_6Gs,25,True
922,gasping for air,VjxJljw-2_4,5,True
924,gasping for air,0kMWZftfYRY,7,True
925,gasping for air,zRDZMKyobgA,8,True
926,gasping for air,nPtdkqOLLP4,9,True
928,gasping for air,pCJrgcC3sgI,11,True
930,gasping for air,T85vd3CBs04,15,True
931,gasping for air,WRiL234-OaY,16,True
932,gasping for air,R819uGmg2Po,17,True
933,gasping for air,oS-RDTRgTH4,18,True
934,gasping for air,5JDrgvLtEbI,19,True
935,gasping for air,qAVqeOrlT0k,20,True
936,gasping for air,om3msdebkls,21,True
937,gasping for air,_NRxQ43SGIA,22,True
938,gasping for air,w_ueU5AWZJE,23,True
939,gasping for air,gVDuO9iLP-0,24,True
940,gasping for air,tkpKJu6x3iI,25,True
941,Obstructive Sleep Apnea,af0d_8wnEPI,3,True
942,Obstructive Sleep Apnea,SJdKwGQIC_0,8,True
943,Obstructive Sleep Apnea,za4tDIyd3fg,10,True
944,Obstructive Sleep Apnea,c1rPFj7CCGE,12,True
945,Obstructive Sleep Apnea,RxRwy3NEo4E,14,True
947,Obstructive Sleep Apnea,VU95_euHygY,18,True
948,Obstructive Sleep Apnea,ftdixWiOx5w,21,True
949,Obstructive Sleep Apnea,NyBkWHjgAOQ,23,True
950,Obstructive Sleep Apnea,NqIiN6CNDhA,25,True
